,Rec_grid,Rec_state
0,11500.0,강서구
16800,11530.0,구로구
23600,11470.0,양천구
31200,11440.0,마포구
41200,11545.0,금천구
46000,11560.0,영등포구
56400,11380.0,은평구
68000,11620.0,관악구
80000,11410.0,서대문구
87600,11590.0,동작구
92800,11170.0,용산구
102400,11110.0,종로구
112800,11140.0,중구
115600,11650.0,서초구
134800,11290.0,성북구
144400,11305.0,강북구
154400,11680.0,강남구
169600,11200.0,성동구
176000,11320.0,도봉구
184000,11230.0,동대문구
190000,11350.0,노원구
203600,11215.0,광진구
211200,11710.0,송파구
224400,11260.0,중랑구
232000,11740.0,강동구
0,26440.0,강서구
98000,26380.0,사하구
129200,26530.0,사상구
144400,26320.0,북구
161200,26140.0,서구
171200,26230.0,부산진구
182400,26200.0,영도구
195600,26110.0,중구
197200,26170.0,동구
203200,26410.0,금정구
229200,26470.0,연제구
234000,26260.0,동래구
240000,26290.0,남구
257200,26500.0,수영구
262000,26350.0,해운대구
287200,26710.0,기장군
0,27710.0,달성군
167600,27290.0,달서구
192400,27230.0,북구
230400,27170.0,서구
236800,27200.0,남구
244800,27110.0,중구
247600,27260.0,수성구
278800,27140.0,동구
0,27710.0,달성군
167600,27290.0,달서구
192400,27230.0,북구
230400,27170.0,서구
236800,27200.0,남구
244800,27110.0,중구
247600,27260.0,수성구
278800,27140.0,동구
0,29200.0,광산구
88400,29155.0,남구
114000,29140.0,서구
132800,29170.0,북구
180000,29110.0,동구
0,30170.0,서구
38400,30200.0,유성구
110000,30140.0,중구
134000,30230.0,대덕구
163200,30110.0,동구
0,31710.0,울주군
318800,31140.0,남구
352000,31110.0,중구
366800,31200.0,북구
436800,31170.0,동구
0,36110.0,세종특별자치시
0,41273.0,안산시단원구
76800,41590.0,화성시
415600,41220.0,평택시
607200,41550.0,안성시
828800,41461.0,용인시처인구
1013600,41570.0,김포시
1139200,41390.0,시흥시
1200400,41480.0,파주시
1482000,41287.0,고양시일산서구
1499200,41195.0,부천시원미구
1508400,41285.0,고양시일산동구
1532400,41197.0,부천시소사구
1537200,41199.0,부천시오정구
1544000,41281.0,고양시덕양구
1609600,41800.0,연천군
1902800,41271.0,안산시상록구
1926400,41210.0,광명시
1942800,41410.0,군포시
1957200,41171.0,안양시만안구
1971600,41630.0,양주시
2096400,41113.0,수원시 권선구
2116800,41173.0,안양시동안구
2126800,41430.0,의왕시
2147600,41111.0,수원시 장안구
2161600,41290.0,과천시
2175600,41370.0,오산시
2193200,41115.0,수원시 팔달구
2197200,41150.0,의정부시
2230400,41465.0,용인시수지구
2246400,41250.0,동두천시
2284000,41135.0,성남시 분당구
2312400,41117.0,수원시 영통구
2324000,41131.0,성남시 수정구
2343200,41463.0,용인시기흥구
2376800,41360.0,남양주시
0,42780.0,철원군
376000,42790.0,화천군
741200,42750.0,영월군
1192400,42110.0,춘천시
1636400,42720.0,홍천군
2362800,42130.0,원주시
2516580,42130.0,원
0,43710.0,청원군
313200,43750.0,진천군
477200,43113.0,청주시흥덕구
512000,43111.0,청주시상당구
539200,43770.0,음성군
748000,43730.0,옥천군
965200,43740.0,영동군
1304400,43720.0,보은군
1537200,43745.0,증평군
1569200,43760.0,괴산군
1907200,43130.0,충주시
2298000,43150.0,제천시
0,44825.0,태안군
362000,44180.0,보령시
672800,44210.0,서산시
1004800,44770.0,서천군
1180000,44760.0,부여군
1428400,44230.0,논산시
1649600,44710.0,금산군
1879200,44800.0,홍성군
2066000,44270.0,당진시
2376800,44810.0,예산군
2516580,44810.0,예
0,46910.0,신안군
641600,46900.0,진도군
967600,46890.0,완도군
1336000,46870.0,영광군
1574800,46820.0,해남군
2066800,46840.0,무안군
2304800,46110.0,목포시
2340400,46830.0,영암군
2516580,46830.0,영
0,45130.0,군산시
245200,45800.0,부안군
488400,45790.0,고창군
748800,45210.0,김제시
969200,45180.0,정읍시
1248000,45770.0,순창군
1447200,45140.0,익산시
1650400,45710.0,완주군
1981600,45113.0,전주시덕진구
2026800,45111.0,전주시완산구
2064400,45750.0,임실군
2304000,45190.0,남원시
0,47940.0,울릉군
44400,47150.0,김천시
442400,47840.0,성주군
689600,47830.0,고령군
843600,47190.0,구미시
1087600,47850.0,칠곡군
1267200,47720.0,군위군
1510800,47820.0,청도군
1788400,47250.0,상주시
2292000,47280.0,문경시
2516580,47280.0,문
0,50110.0,제주시
452400,50130.0,서귀포시
0,48850.0,하동군
284800,48860.0,산청군
601200,48840.0,남해군
806400,48240.0,사천시
1006800,48170.0,진주시
